date,link,questionFrontendId,titleSlug,title,difficulty,isPaidOnly,status,topicTags
2020-12-22,https://leetcode.com/problems/find-nearest-right-node-in-binary-tree/,1602,find-nearest-right-node-in-binary-tree,Find Nearest Right Node in Binary Tree,Medium,!!!,,"Tree, Breadth-First Search, Binary Tree"
2020-12-29,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters/,340,longest-substring-with-at-most-k-distinct-characters,Longest Substring with At Most K Distinct Characters,Medium,!!!,,"Hash Table, String, Sliding Window"
2021-01-01,https://leetcode.com/problems/palindrome-permutation/,266,palindrome-permutation,Palindrome Permutation,Easy,!!!,,"Hash Table, String, Bit Manipulation"
2021-01-08,https://leetcode.com/problems/find-root-of-n-ary-tree/,1506,find-root-of-n-ary-tree,Find Root of N-Ary Tree,Medium,!!!,,"Hash Table, Bit Manipulation, Tree, Depth-First Search"
2021-01-15,https://leetcode.com/problems/nested-list-weight-sum/,339,nested-list-weight-sum,Nested List Weight Sum,Medium,!!!,,"Depth-First Search, Breadth-First Search"
2021-01-22,https://leetcode.com/problems/one-edit-distance/,161,one-edit-distance,One Edit Distance,Medium,!!!,,"Two Pointers, String"
2021-01-29,https://leetcode.com/problems/number-of-corner-rectangles/,750,number-of-corner-rectangles,Number Of Corner Rectangles,Medium,!!!,,"Array, Math, Dynamic Programming, Matrix"
2021-02-01,https://leetcode.com/problems/squirrel-simulation/,573,squirrel-simulation,Squirrel Simulation,Medium,!!!,,"Array, Math"
2021-02-08,https://leetcode.com/problems/number-of-distinct-islands/,694,number-of-distinct-islands,Number of Distinct Islands,Medium,!!!,,"Hash Table, Depth-First Search, Breadth-First Search, Union Find, Hash Function"
2021-02-15,https://leetcode.com/problems/kill-process/,582,kill-process,Kill Process,Medium,!!!,,"Array, Hash Table, Tree, Depth-First Search, Breadth-First Search"
2021-02-22,https://leetcode.com/problems/find-the-celebrity/,277,find-the-celebrity,Find the Celebrity,Medium,!!!,,"Two Pointers, Graph, Interactive"
2021-03-01,https://leetcode.com/problems/single-row-keyboard/,1165,single-row-keyboard,Single-Row Keyboard,Easy,!!!,,"Hash Table, String"
2021-03-08,https://leetcode.com/problems/strobogrammatic-number/,246,strobogrammatic-number,Strobogrammatic Number,Easy,!!!,,"Hash Table, Two Pointers, String"
2021-03-15,https://leetcode.com/problems/construct-binary-tree-from-string/,536,construct-binary-tree-from-string,Construct Binary Tree from String,Medium,!!!,,"String, Stack, Tree, Depth-First Search, Binary Tree"
2021-03-22,https://leetcode.com/problems/find-smallest-common-element-in-all-rows/,1198,find-smallest-common-element-in-all-rows,Find Smallest Common Element in All Rows,Medium,!!!,,"Array, Hash Table, Binary Search, Matrix, Counting"
2021-03-29,https://leetcode.com/problems/parallel-courses/,1136,parallel-courses,Parallel Courses,Medium,!!!,,"Graph, Topological Sort"
2021-04-01,https://leetcode.com/problems/largest-unique-number/,1133,largest-unique-number,Largest Unique Number,Easy,!!!,,"Array, Hash Table, Sorting"
2021-04-08,https://leetcode.com/problems/inorder-successor-in-bst/,285,inorder-successor-in-bst,Inorder Successor in BST,Medium,!!!,,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
2021-04-15,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together/,1151,minimum-swaps-to-group-all-1s-together,Minimum Swaps to Group All 1's Together,Medium,!!!,,"Array, Sliding Window"
2021-04-22,https://leetcode.com/problems/missing-number-in-arithmetic-progression/,1228,missing-number-in-arithmetic-progression,Missing Number In Arithmetic Progression,Easy,!!!,,"Array, Math"
2021-04-29,https://leetcode.com/problems/meeting-scheduler/,1229,meeting-scheduler,Meeting Scheduler,Medium,!!!,,"Array, Two Pointers, Sorting"
2021-05-01,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,323,number-of-connected-components-in-an-undirected-graph,Number of Connected Components in an Undirected Graph,Medium,!!!,,"Depth-First Search, Breadth-First Search, Union Find, Graph"
2021-05-08,https://leetcode.com/problems/put-boxes-into-the-warehouse-i/,1564,put-boxes-into-the-warehouse-i,Put Boxes Into the Warehouse I,Medium,!!!,,"Array, Greedy, Sorting"
2021-05-15,https://leetcode.com/problems/minimum-knight-moves/,1197,minimum-knight-moves,Minimum Knight Moves,Medium,!!!,,Breadth-First Search
2021-05-22,https://leetcode.com/problems/design-tic-tac-toe/,348,design-tic-tac-toe,Design Tic-Tac-Toe,Medium,!!!,,"Array, Hash Table, Design, Matrix, Simulation"
2021-05-29,https://leetcode.com/problems/minimum-cost-to-connect-sticks/,1167,minimum-cost-to-connect-sticks,Minimum Cost to Connect Sticks,Medium,!!!,,"Array, Greedy, Heap (Priority Queue)"
2021-06-01,https://leetcode.com/problems/paint-house/,256,paint-house,Paint House,Medium,!!!,,"Array, Dynamic Programming"
2021-06-08,https://leetcode.com/problems/the-maze-ii/,505,the-maze-ii,The Maze II,Medium,!!!,,"Array, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Matrix, Shortest Path"
2021-06-15,https://leetcode.com/problems/shortest-distance-to-target-color/,1182,shortest-distance-to-target-color,Shortest Distance to Target Color,Medium,!!!,,"Array, Binary Search, Dynamic Programming"
2021-06-22,https://leetcode.com/problems/all-paths-from-source-lead-to-destination/,1059,all-paths-from-source-lead-to-destination,All Paths from Source Lead to Destination,Medium,!!!,,"Graph, Topological Sort"
2021-06-29,https://leetcode.com/problems/armstrong-number/,1134,armstrong-number,Armstrong Number,Easy,!!!,,Math
2021-07-01,https://leetcode.com/problems/find-leaves-of-binary-tree/,366,find-leaves-of-binary-tree,Find Leaves of Binary Tree,Medium,!!!,,"Tree, Depth-First Search, Binary Tree"
2021-07-08,https://leetcode.com/problems/reverse-words-in-a-string-ii/,186,reverse-words-in-a-string-ii,Reverse Words in a String II,Medium,!!!,,"Two Pointers, String"
2021-07-15,https://leetcode.com/problems/range-addition/,370,range-addition,Range Addition,Medium,!!!,,"Array, Prefix Sum"
2021-07-22,https://leetcode.com/problems/alien-dictionary/,269,alien-dictionary,Alien Dictionary,Hard,!!!,,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
2021-07-29,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence-ii/,549,binary-tree-longest-consecutive-sequence-ii,Binary Tree Longest Consecutive Sequence II,Medium,!!!,,"Tree, Depth-First Search, Binary Tree"
2021-08-01,https://leetcode.com/problems/optimize-water-distribution-in-a-village/,1168,optimize-water-distribution-in-a-village,Optimize Water Distribution in a Village,Hard,!!!,,"Union Find, Graph, Heap (Priority Queue), Minimum Spanning Tree"
2021-08-08,https://leetcode.com/problems/paint-fence/,276,paint-fence,Paint Fence,Medium,!!!,,Dynamic Programming
2021-08-15,https://leetcode.com/problems/paint-house-ii/,265,paint-house-ii,Paint House II,Hard,!!!,,"Array, Dynamic Programming"
2021-08-22,https://leetcode.com/problems/graph-valid-tree/,261,graph-valid-tree,Graph Valid Tree,Medium,!!!,,"Depth-First Search, Breadth-First Search, Union Find, Graph"
2021-08-29,https://leetcode.com/problems/equal-tree-partition/,663,equal-tree-partition,Equal Tree Partition,Medium,!!!,,"Tree, Depth-First Search, Binary Tree"
2021-09-01,https://leetcode.com/problems/maximum-average-subtree/,1120,maximum-average-subtree,Maximum Average Subtree,Medium,!!!,,"Tree, Depth-First Search, Binary Tree"
2021-09-08,https://leetcode.com/problems/best-meeting-point/,296,best-meeting-point,Best Meeting Point,Hard,!!!,,"Array, Math, Sorting, Matrix"
2021-09-15,https://leetcode.com/problems/minimize-max-distance-to-gas-station/,774,minimize-max-distance-to-gas-station,Minimize Max Distance to Gas Station,Hard,!!!,,"Array, Binary Search"
2021-09-22,https://leetcode.com/problems/shortest-distance-from-all-buildings/,317,shortest-distance-from-all-buildings,Shortest Distance from All Buildings,Hard,!!!,,"Array, Breadth-First Search, Matrix"
2021-09-29,https://leetcode.com/problems/maximum-size-subarray-sum-equals-k/,325,maximum-size-subarray-sum-equals-k,Maximum Size Subarray Sum Equals k,Medium,!!!,,"Array, Hash Table, Prefix Sum"
2021-10-01,https://leetcode.com/problems/leftmost-column-with-at-least-a-one/,1428,leftmost-column-with-at-least-a-one,Leftmost Column with at Least a One,Medium,!!!,,"Array, Binary Search, Matrix, Interactive"
2021-10-08,https://leetcode.com/problems/valid-palindrome-iii/,1216,valid-palindrome-iii,Valid Palindrome III,Hard,!!!,,"String, Dynamic Programming"
2021-10-15,https://leetcode.com/problems/smallest-rectangle-enclosing-black-pixels/,302,smallest-rectangle-enclosing-black-pixels,Smallest Rectangle Enclosing Black Pixels,Hard,!!!,,"Array, Binary Search, Depth-First Search, Breadth-First Search, Matrix"
2021-10-22,https://leetcode.com/problems/campus-bikes-ii/,1066,campus-bikes-ii,Campus Bikes II,Medium,!!!,,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
2021-10-29,https://leetcode.com/problems/buildings-with-an-ocean-view/,1762,buildings-with-an-ocean-view,Buildings With an Ocean View,Medium,!!!,,"Array, Stack, Monotonic Stack"
2021-11-01,https://leetcode.com/problems/divide-chocolate/,1231,divide-chocolate,Divide Chocolate,Hard,!!!,,"Array, Binary Search"
2021-11-08,https://leetcode.com/problems/word-squares/,425,word-squares,Word Squares,Hard,!!!,,"Array, String, Backtracking, Trie"
2021-11-15,https://leetcode.com/problems/diameter-of-n-ary-tree/,1522,diameter-of-n-ary-tree,Diameter of N-Ary Tree,Medium,!!!,,"Tree, Depth-First Search"
2021-11-22,https://leetcode.com/problems/first-unique-number/,1429,first-unique-number,First Unique Number,Medium,!!!,,"Array, Hash Table, Design, Queue, Data Stream"
2021-11-29,https://leetcode.com/problems/largest-bst-subtree/,333,largest-bst-subtree,Largest BST Subtree,Medium,!!!,,"Dynamic Programming, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
2021-12-01,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list/,708,insert-into-a-sorted-circular-linked-list,Insert into a Sorted Circular Linked List,Medium,!!!,,Linked List
2021-12-08,https://leetcode.com/problems/nested-list-weight-sum-ii/,364,nested-list-weight-sum-ii,Nested List Weight Sum II,Medium,!!!,,"Stack, Depth-First Search, Breadth-First Search"
2021-12-15,https://leetcode.com/problems/maximum-distance-in-arrays/,624,maximum-distance-in-arrays,Maximum Distance in Arrays,Medium,,,"Array, Greedy"
2021-12-22,https://leetcode.com/problems/string-transforms-into-another-string/,1153,string-transforms-into-another-string,String Transforms Into Another String,Hard,!!!,,"Hash Table, String, Graph"
2021-12-29,https://leetcode.com/problems/design-a-leaderboard/,1244,design-a-leaderboard,Design A Leaderboard,Medium,!!!,,"Hash Table, Design, Sorting"
2022-01-01,https://leetcode.com/problems/maximum-vacation-days/,568,maximum-vacation-days,Maximum Vacation Days,Hard,!!!,,"Array, Dynamic Programming, Matrix"
2022-01-08,https://leetcode.com/problems/design-in-memory-file-system/,588,design-in-memory-file-system,Design In-Memory File System,Hard,!!!,,"Hash Table, String, Design, Trie, Sorting"
2022-01-15,https://leetcode.com/problems/meeting-rooms-ii/,253,meeting-rooms-ii,Meeting Rooms II,Medium,!!!,,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
2022-01-22,https://leetcode.com/problems/find-nearest-right-node-in-binary-tree/,1602,find-nearest-right-node-in-binary-tree,Find Nearest Right Node in Binary Tree,Medium,!!!,,"Tree, Breadth-First Search, Binary Tree"
2022-01-29,https://leetcode.com/problems/group-shifted-strings/,249,group-shifted-strings,Group Shifted Strings,Medium,!!!,,"Array, Hash Table, String"
2022-02-01,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends/,1101,the-earliest-moment-when-everyone-become-friends,The Earliest Moment When Everyone Become Friends,Medium,!!!,,"Array, Union Find, Sorting"
2022-02-08,https://leetcode.com/problems/number-of-ships-in-a-rectangle/,1274,number-of-ships-in-a-rectangle,Number of Ships in a Rectangle,Hard,!!!,,"Array, Divide and Conquer, Interactive"
2022-02-15,https://leetcode.com/problems/find-k-length-substrings-with-no-repeated-characters/,1100,find-k-length-substrings-with-no-repeated-characters,Find K-Length Substrings With No Repeated Characters,Medium,!!!,,"Hash Table, String, Sliding Window"
2022-02-22,https://leetcode.com/problems/fixed-point/,1064,fixed-point,Fixed Point,Easy,!!!,,"Array, Binary Search"
2022-03-01,https://leetcode.com/problems/clone-n-ary-tree/,1490,clone-n-ary-tree,Clone N-ary Tree,Medium,!!!,,"Hash Table, Tree, Depth-First Search, Breadth-First Search"
2022-03-08,https://leetcode.com/problems/strobogrammatic-number-ii/,247,strobogrammatic-number-ii,Strobogrammatic Number II,Medium,!!!,,"Array, String, Recursion"
2022-03-15,https://leetcode.com/problems/campus-bikes/,1057,campus-bikes,Campus Bikes,Medium,!!!,,"Array, Sorting, Heap (Priority Queue)"
2022-03-22,https://leetcode.com/problems/sparse-matrix-multiplication/,311,sparse-matrix-multiplication,Sparse Matrix Multiplication,Medium,!!!,,"Array, Hash Table, Matrix"
2022-03-29,https://leetcode.com/problems/path-with-maximum-minimum-value/,1102,path-with-maximum-minimum-value,Path With Maximum Minimum Value,Medium,!!!,,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix"
2022-04-01,https://leetcode.com/problems/brace-expansion/,1087,brace-expansion,Brace Expansion,Medium,!!!,,"String, Backtracking, Breadth-First Search"
2022-04-08,https://leetcode.com/problems/minimize-product-sum-of-two-arrays/,1874,minimize-product-sum-of-two-arrays,Minimize Product Sum of Two Arrays,Medium,!!!,,"Array, Greedy, Sorting"
2022-04-15,https://leetcode.com/problems/binary-search-tree-iterator-ii/,1586,binary-search-tree-iterator-ii,Binary Search Tree Iterator II,Medium,!!!,,"Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator"
2022-04-22,https://leetcode.com/problems/design-file-system/,1166,design-file-system,Design File System,Medium,!!!,,"Hash Table, String, Design, Trie"
2022-04-29,https://leetcode.com/problems/encode-n-ary-tree-to-binary-tree/,431,encode-n-ary-tree-to-binary-tree,Encode N-ary Tree to Binary Tree,Hard,!!!,,"Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
2022-05-01,https://leetcode.com/problems/find-permutation/,484,find-permutation,Find Permutation,Medium,!!!,,"Array, String, Stack, Greedy"
2022-05-08,https://leetcode.com/problems/robot-room-cleaner/,489,robot-room-cleaner,Robot Room Cleaner,Hard,!!!,,"Backtracking, Interactive"
2022-05-15,https://leetcode.com/problems/number-of-distinct-islands/,694,number-of-distinct-islands,Number of Distinct Islands,Medium,!!!,,"Hash Table, Depth-First Search, Breadth-First Search, Union Find, Hash Function"
2022-05-22,https://leetcode.com/problems/find-the-celebrity/,277,find-the-celebrity,Find the Celebrity,Medium,!!!,,"Two Pointers, Graph, Interactive"
2022-05-29,https://leetcode.com/problems/parallel-courses/,1136,parallel-courses,Parallel Courses,Medium,!!!,,"Graph, Topological Sort"
2022-06-01,https://leetcode.com/problems/minimum-knight-moves/,1197,minimum-knight-moves,Minimum Knight Moves,Medium,!!!,,Breadth-First Search
2022-06-08,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together/,1151,minimum-swaps-to-group-all-1s-together,Minimum Swaps to Group All 1's Together,Medium,!!!,,"Array, Sliding Window"
2022-06-15,https://leetcode.com/problems/word-abbreviation/,527,word-abbreviation,Word Abbreviation,Hard,!!!,,"Array, String, Greedy, Trie, Sorting"
2022-06-22,https://leetcode.com/problems/meeting-scheduler/,1229,meeting-scheduler,Meeting Scheduler,Medium,!!!,,"Array, Two Pointers, Sorting"
2022-06-29,https://leetcode.com/problems/put-boxes-into-the-warehouse-i/,1564,put-boxes-into-the-warehouse-i,Put Boxes Into the Warehouse I,Medium,!!!,,"Array, Greedy, Sorting"
2022-07-01,https://leetcode.com/problems/paint-house/,256,paint-house,Paint House,Medium,!!!,,"Array, Dynamic Programming"
2022-07-08,https://leetcode.com/problems/inorder-successor-in-bst-ii/,510,inorder-successor-in-bst-ii,Inorder Successor in BST II,Medium,!!!,,"Tree, Binary Search Tree, Binary Tree"
2022-07-15,https://leetcode.com/problems/shortest-distance-to-target-color/,1182,shortest-distance-to-target-color,Shortest Distance to Target Color,Medium,!!!,,"Array, Binary Search, Dynamic Programming"
2022-07-22,https://leetcode.com/problems/all-paths-from-source-lead-to-destination/,1059,all-paths-from-source-lead-to-destination,All Paths from Source Lead to Destination,Medium,!!!,,"Graph, Topological Sort"
2022-07-29,https://leetcode.com/problems/flatten-2d-vector/,251,flatten-2d-vector,Flatten 2D Vector,Medium,!!!,,"Array, Two Pointers, Design, Iterator"
2022-08-01,https://leetcode.com/problems/find-leaves-of-binary-tree/,366,find-leaves-of-binary-tree,Find Leaves of Binary Tree,Medium,!!!,,"Tree, Depth-First Search, Binary Tree"
2022-08-08,https://leetcode.com/problems/binary-tree-vertical-order-traversal/,314,binary-tree-vertical-order-traversal,Binary Tree Vertical Order Traversal,Medium,!!!,,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
2022-08-15,https://leetcode.com/problems/dot-product-of-two-sparse-vectors/,1570,dot-product-of-two-sparse-vectors,Dot Product of Two Sparse Vectors,Medium,!!!,,"Array, Hash Table, Two Pointers, Design"
2022-08-22,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence-ii/,549,binary-tree-longest-consecutive-sequence-ii,Binary Tree Longest Consecutive Sequence II,Medium,!!!,,"Tree, Depth-First Search, Binary Tree"
2022-08-29,https://leetcode.com/problems/the-maze-ii/,505,the-maze-ii,The Maze II,Medium,!!!,,"Array, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Matrix, Shortest Path"
2022-09-01,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence/,298,binary-tree-longest-consecutive-sequence,Binary Tree Longest Consecutive Sequence,Medium,!!!,,"Tree, Depth-First Search, Binary Tree"
2022-09-08,https://leetcode.com/problems/design-hit-counter/,362,design-hit-counter,Design Hit Counter,Medium,!!!,,"Array, Binary Search, Design, Queue, Data Stream"
2022-09-15,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters/,159,longest-substring-with-at-most-two-distinct-characters,Longest Substring with At Most Two Distinct Characters,Medium,!!!,,"Hash Table, String, Sliding Window"
2022-09-22,https://leetcode.com/problems/remove-interval/,1272,remove-interval,Remove Interval,Medium,!!!,,Array
2022-09-29,https://leetcode.com/problems/kill-process/,582,kill-process,Kill Process,Medium,!!!,,"Array, Hash Table, Tree, Depth-First Search, Breadth-First Search"
2022-10-01,https://leetcode.com/problems/lonely-pixel-i/,531,lonely-pixel-i,Lonely Pixel I,Medium,!!!,,"Array, Hash Table, Matrix"
2022-10-08,https://leetcode.com/problems/max-stack/,716,max-stack,Max Stack,Hard,!!!,,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
2022-10-15,https://leetcode.com/problems/similar-rgb-color/,800,similar-rgb-color,Similar RGB Color,Easy,!!!,,"Math, String, Enumeration"
2022-10-22,https://leetcode.com/problems/best-meeting-point/,296,best-meeting-point,Best Meeting Point,Hard,!!!,,"Array, Math, Sorting, Matrix"
2022-10-29,https://leetcode.com/problems/max-consecutive-ones-ii/,487,max-consecutive-ones-ii,Max Consecutive Ones II,Medium,!!!,,"Array, Dynamic Programming, Sliding Window"
2022-11-01,https://leetcode.com/problems/find-smallest-common-element-in-all-rows/,1198,find-smallest-common-element-in-all-rows,Find Smallest Common Element in All Rows,Medium,!!!,,"Array, Hash Table, Binary Search, Matrix, Counting"
2022-11-08,https://leetcode.com/problems/nested-list-weight-sum/,339,nested-list-weight-sum,Nested List Weight Sum,Medium,!!!,,"Depth-First Search, Breadth-First Search"
2022-11-15,https://leetcode.com/problems/two-sum-less-than-k/,1099,two-sum-less-than-k,Two Sum Less Than K,Easy,!!!,,"Array, Two Pointers, Binary Search, Sorting"
2022-11-22,https://leetcode.com/problems/strobogrammatic-number/,246,strobogrammatic-number,Strobogrammatic Number,Easy,!!!,,"Hash Table, Two Pointers, String"
2022-11-29,https://leetcode.com/problems/valid-palindrome-iii/,1216,valid-palindrome-iii,Valid Palindrome III,Hard,!!!,,"String, Dynamic Programming"
2022-12-01,https://leetcode.com/problems/single-row-keyboard/,1165,single-row-keyboard,Single-Row Keyboard,Easy,!!!,,"Hash Table, String"
2022-12-08,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,323,number-of-connected-components-in-an-undirected-graph,Number of Connected Components in an Undirected Graph,Medium,!!!,,"Depth-First Search, Breadth-First Search, Union Find, Graph"
2022-12-15,https://leetcode.com/problems/campus-bikes-ii/,1066,campus-bikes-ii,Campus Bikes II,Medium,!!!,,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
2022-12-22,https://leetcode.com/problems/minimum-cost-to-connect-sticks/,1167,minimum-cost-to-connect-sticks,Minimum Cost to Connect Sticks,Medium,!!!,,"Array, Greedy, Heap (Priority Queue)"
2022-12-29,https://leetcode.com/problems/leftmost-column-with-at-least-a-one/,1428,leftmost-column-with-at-least-a-one,Leftmost Column with at Least a One,Medium,!!!,,"Array, Binary Search, Matrix, Interactive"
2023-01-01,https://leetcode.com/problems/confusing-number/,1056,confusing-number,Confusing Number,Easy,!!!,,Math
2023-01-08,https://leetcode.com/problems/minimum-health-to-beat-game/,2214,minimum-health-to-beat-game,Minimum Health to Beat Game,Medium,!!!,,"Array, Greedy"
2023-01-15,https://leetcode.com/problems/find-the-index-of-the-large-integer/,1533,find-the-index-of-the-large-integer,Find the Index of the Large Integer,Medium,!!!,,"Array, Binary Search, Interactive"
2023-01-22,https://leetcode.com/problems/confusing-number-ii/,1088,confusing-number-ii,Confusing Number II,Hard,!!!,,"Math, Backtracking"
2023-01-29,https://leetcode.com/problems/game-of-nim/,1908,game-of-nim,Game of Nim,Medium,!!!,,"Array, Math, Dynamic Programming, Bit Manipulation, Brainteaser, Game Theory"
2023-02-01,https://leetcode.com/problems/sentence-similarity/,734,sentence-similarity,Sentence Similarity,Easy,!!!,,"Array, Hash Table, String"
2023-02-08,https://leetcode.com/problems/wiggle-sort/,280,wiggle-sort,Wiggle Sort,Medium,!!!,,"Array, Greedy, Sorting"
2023-02-15,https://leetcode.com/problems/number-of-islands-ii/,305,number-of-islands-ii,Number of Islands II,Hard,!!!,,"Array, Hash Table, Union Find"
2023-02-22,https://leetcode.com/problems/handshakes-that-dont-cross/,1259,handshakes-that-dont-cross,Handshakes That Don't Cross,Hard,!!!,,"Math, Dynamic Programming"
2023-03-01,https://leetcode.com/problems/valid-word-square/,422,valid-word-square,Valid Word Square,Easy,!!!,,"Array, Matrix"
2023-03-08,https://leetcode.com/problems/shortest-way-to-form-string/,1055,shortest-way-to-form-string,Shortest Way to Form String,Medium,!!!,,"Two Pointers, String, Binary Search, Greedy"
2023-03-15,https://leetcode.com/problems/clone-binary-tree-with-random-pointer/,1485,clone-binary-tree-with-random-pointer,Clone Binary Tree With Random Pointer,Medium,!!!,,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
2023-03-22,https://leetcode.com/problems/web-crawler/,1236,web-crawler,Web Crawler,Medium,!!!,,"String, Depth-First Search, Breadth-First Search, Interactive"
2023-03-29,https://leetcode.com/problems/4-keys-keyboard/,651,4-keys-keyboard,4 Keys Keyboard,Medium,!!!,,"Math, Dynamic Programming"
2023-04-01,https://leetcode.com/problems/shortest-word-distance-iii/,245,shortest-word-distance-iii,Shortest Word Distance III,Medium,!!!,,"Array, String"
2023-04-08,https://leetcode.com/problems/find-anagram-mappings/,760,find-anagram-mappings,Find Anagram Mappings,Easy,!!!,,"Array, Hash Table"
2023-04-15,https://leetcode.com/problems/the-most-similar-path-in-a-graph/,1548,the-most-similar-path-in-a-graph,The Most Similar Path in a Graph,Hard,!!!,,"Dynamic Programming, Graph"
2023-04-22,https://leetcode.com/problems/minimum-window-subsequence/,727,minimum-window-subsequence,Minimum Window Subsequence,Hard,!!!,,"String, Dynamic Programming, Sliding Window"
